Date,Max T,Minimum Temp,Average Temperature,Precipitation,Snowfall,Snow Depth,Sky
2018-01-01,5.0,0.0,2.5,0.04,1.0,3.0,cloudy
2018-01-02,13.0,1.0,7.0,0.03,,4.0,partly cloudy
2018-01-03,19.0,-2.0,,0.0,0.0,,sunny
2018-01-04,22.0,1.0,11.5,0.0,0.0,3.0,partly sunny
2018-01-05,18.0,-2.0,8.0,0.09,1.2,4.0,cloudy
2018-01-06,2.0,-3.0,-0.5,0.0,0.0,4.0,party sunny
2018-01-07,2.0,-3.0,-0.5,0.0,0.0,4.0,partly sunny
2018-01-08,24.0,-3.0,10.5,0.0,0.0,4.0,sunny
2018-01-09,37.0,23.0,30.0,0.0,0.0,4.0,sunny
2018-01-10,33.0,15.0,24.0,0.0,0.0,4.0,sunny
2018-01-11,41.0,18.0,29.5,0.0,0.0,3.0,sunny
2018-01-12,57.0,40.0,48.5,0.76,0.0,0.0,
2018-01-13,62.0,12.0,37.0,0.94,6.0,6.0,couldy
2018-01-14,12.0,4.0,8.0,0.06,0.9,6.0,partly cloudy
2018-01-15,12.0,-9.0,1.5,0.0,0.0,6.0,partly sunny
2018-01-16,22.0,,6.5,0.05,0.5,6.0,cloudy
2018-01-17,26.0,15.0,20.5,0.13,1.6,8.0,cloudy
2018-01-18,20.0,-1.0,9.5,0.0,0.0,,sunny
2018-01-19,22.0,,,0.0,0.0,7.0,sunny
2018-01-20,37.0,8.0,22.5,0.0,0.0,6.0,
2018-01-21,45.0,16.0,30.5,0.0,0.0,4.0,partly sunny
2018-01-22,,19.0,30.5,0.02,0.0,3.0,partly cloudy
2018-01-23,46.0,35.0,40.5,0.01,0.0,0.0, partly cloudy
2018-01-24,50.0,24.0,37.0,0.1,0.0,0.0,cloudy
2018-01-25,25.0,16.0,20.5,0.02,,1.0,cloudy
2018-01-26,24.0,13.0,18.5,0.0,,0.0,sunny
2018-01-27,38.0,13.0,25.5,0.0,,0.0,sunny
2018-01-28,51.0,,40.5,0.02,0.0,0.0,party sunny
2018-01-29,46.0,21.0,33.5,0.0,0.0,0.0,sunny
2018-01-30,37.0,19.0,28.0,0.05,0.5,1.0,cloudy
2018-01-31,19.0,-2.0,8.5,0.06,0.8,1.0,cloudy

